Country Name,Region,IncomeGroup,TotalGDP,GDPPercentage
Aruba,Latin America & Caribbean,High income,1618420654648.46,
Africa Eastern and Southern,,,,
Afghanistan,South Asia,Low income,15170997191.56,0.11029818256975993
Africa Western and Central,,,,
Angola,Sub-Saharan Africa,Lower middle income,120530553149.34,
Albania,Europe & Central Asia,Upper middle income,216220390295.31,
Andorra,Europe & Central Asia,High income,1618420654648.46,
Arab World,,,,
United Arab Emirates,Middle East & North Africa,High income,1618420654648.46,
Argentina,Latin America & Caribbean,Upper middle income,216220390295.31,0.11218492168971979
Armenia,Europe & Central Asia,Upper middle income,216220390295.31,
American Samoa,East Asia & Pacific,Upper middle income,216220390295.31,
Antigua and Barbuda,Latin America & Caribbean,High income,1618420654648.46,
Australia,East Asia & Pacific,High income,1618420654648.46,0.018809237717379603
Austria,Europe & Central Asia,High income,1618420654648.46,0.007154772546767323
Azerbaijan,Europe & Central Asia,Upper middle income,216220390295.31,
Burundi,Sub-Saharan Africa,Low income,15170997191.56,0.011752499894943697
Belgium,Europe & Central Asia,High income,1618420654648.46,0.012352808727804148
Benin,Sub-Saharan Africa,Lower middle income,120530553149.34,0.0025406172327159587
Burkina Faso,Sub-Saharan Africa,Low income,15170997191.56,0.02971155999229672
Bangladesh,South Asia,Lower middle income,120530553149.34,0.06018038754051565
Bulgaria,Europe & Central Asia,Upper middle income,216220390295.31,
Bahrain,Middle East & North Africa,High income,1618420654648.46,
"Bahamas, The",Latin America & Caribbean,High income,1618420654648.46,0.00024109682317713325
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,216220390295.31,
Belarus,Europe & Central Asia,Upper middle income,216220390295.31,
Belize,Latin America & Caribbean,Upper middle income,216220390295.31,0.00021912508008745232
Bermuda,North America,High income,1618420654648.46,9.583601405142113e-05
Bolivia,Latin America & Caribbean,Lower middle income,120530553149.34,0.006270676281254075
Brazil,Latin America & Caribbean,Upper middle income,216220390295.31,0.14377177449611833
Barbados,Latin America & Caribbean,High income,1618420654648.46,
Brunei Darussalam,East Asia & Pacific,High income,1618420654648.46,8.590501190198851e-05
Bhutan,South Asia,Lower middle income,120530553149.34,
Botswana,Sub-Saharan Africa,Upper middle income,216220390295.31,0.00027123456501906097
Central African Republic,Sub-Saharan Africa,Low income,15170997191.56,0.010798270992439272
Canada,North America,High income,1618420654648.46,0.04057576459642009
Central Europe and the Baltics,,,,
Switzerland,Europe & Central Asia,High income,1618420654648.46,0.010961311651607252
Channel Islands,Europe & Central Asia,High income,1618420654648.46,
Chile,Latin America & Caribbean,High income,1618420654648.46,0.004333357991852463
China,East Asia & Pacific,Upper middle income,216220390295.31,0.33707103769195657
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,120530553149.34,0.008984633884972176
Cameroon,Sub-Saharan Africa,Lower middle income,120530553149.34,0.007767121116917618
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,15170997191.56,0.22306136698005838
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,120530553149.34,0.001969603740272057
Colombia,Latin America & Caribbean,Upper middle income,216220390295.31,0.026940893178687194
Comoros,Sub-Saharan Africa,Lower middle income,120530553149.34,
Cabo Verde,Sub-Saharan Africa,Lower middle income,120530553149.34,
Costa Rica,Latin America & Caribbean,Upper middle income,216220390295.31,0.003234924411822097
Caribbean small states,,,,
Cuba,Latin America & Caribbean,Upper middle income,216220390295.31,
Curacao,Latin America & Caribbean,High income,1618420654648.46,
Cayman Islands,Latin America & Caribbean,High income,1618420654648.46,
Cyprus,Europe & Central Asia,High income,1618420654648.46,
