Country Name,Region,IncomeGroup,TotalGDP,GDPPercentage
Aruba,Latin America & Caribbean,High income,12074992045376.8,3.3588973862329664e-05
Africa Eastern and Southern,,,,
Afghanistan,South Asia,Low income,80535193982.1,
Africa Western and Central,,,,
Angola,Sub-Saharan Africa,Lower middle income,936027160466.3,0.007555403993273993
Albania,Europe & Central Asia,Upper middle income,1184178650596.37,0.0017711231738080694
Andorra,Europe & Central Asia,High income,12074992045376.8,3.991725975376898e-05
Arab World,,,,
United Arab Emirates,Middle East & North Africa,High income,12074992045376.8,0.0028110670356918475
Argentina,Latin America & Caribbean,Upper middle income,1184178650596.37,0.09368012161351834
Armenia,Europe & Central Asia,Upper middle income,1184178650596.37,
American Samoa,East Asia & Pacific,Upper middle income,1184178650596.37,
Antigua and Barbuda,Latin America & Caribbean,High income,12074992045376.8,2.405302956793267e-05
Australia,East Asia & Pacific,High income,12074992045376.8,0.015111562750044523
Austria,Europe & Central Asia,High income,12074992045376.8,0.008201758193034866
Azerbaijan,Europe & Central Asia,Upper middle income,1184178650596.37,
Burundi,Sub-Saharan Africa,Low income,80535193982.1,0.014921743371812068
Belgium,Europe & Central Asia,High income,12074992045376.8,0.009939468245525855
Benin,Sub-Saharan Africa,Lower middle income,936027160466.3,0.0014274180252786628
Burkina Faso,Sub-Saharan Africa,Low income,80535193982.1,0.025284639923417767
Bangladesh,South Asia,Lower middle income,936027160466.3,0.023262181112514775
Bulgaria,Europe & Central Asia,Upper middle income,1184178650596.37,0.017099864203599813
Bahrain,Middle East & North Africa,High income,12074992045376.8,0.00025278638739713966
"Bahamas, The",Latin America & Caribbean,High income,12074992045376.8,0.0002047620396525773
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1184178650596.37,
Belarus,Europe & Central Asia,Upper middle income,1184178650596.37,
Belize,Latin America & Caribbean,Upper middle income,1184178650596.37,0.0001956109581804599
Bermuda,North America,High income,12074992045376.8,9.718433168238007e-05
Bolivia,Latin America & Caribbean,Lower middle income,936027160466.3,0.0042299834526463515
Brazil,Latin America & Caribbean,Upper middle income,1184178650596.37,0.1823027293147703
Barbados,Latin America & Caribbean,High income,12074992045376.8,0.00012817856750411649
Brunei Darussalam,East Asia & Pacific,High income,12074992045376.8,0.00019532872635746735
Bhutan,South Asia,Lower middle income,936027160466.3,0.00020430042543288454
Botswana,Sub-Saharan Africa,Upper middle income,1184178650596.37,0.001176034351994649
Central African Republic,Sub-Saharan Africa,Low income,80535193982.1,0.013935088133635563
Canada,North America,High income,12074992045376.8,0.03125782597467724
Central Europe and the Baltics,,,,
Switzerland,Europe & Central Asia,High income,12074992045376.8,0.013186261274678248
Channel Islands,Europe & Central Asia,High income,12074992045376.8,
Chile,Latin America & Caribbean,High income,12074992045376.8,0.0015644771232982211
China,East Asia & Pacific,Upper middle income,1184178650596.37,0.25398025867848045
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,936027160466.3,0.009784226988069036
Cameroon,Sub-Saharan Africa,Lower middle income,936027160466.3,0.012667427652519376
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,80535193982.1,0.1005196208976575
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,936027160466.3,0.001975656576117675
Colombia,Latin America & Caribbean,Upper middle income,1184178650596.37,0.029507785557865308
Comoros,Sub-Saharan Africa,Lower middle income,936027160466.3,0.00029827948225445965
Cabo Verde,Sub-Saharan Africa,Lower middle income,936027160466.3,0.00020368127769393294
Costa Rica,Latin America & Caribbean,Upper middle income,1184178650596.37,0.0037316868267930126
Caribbean small states,,,,
Cuba,Latin America & Caribbean,Upper middle income,1184178650596.37,0.020458547045920084
Curacao,Latin America & Caribbean,High income,12074992045376.8,
Cayman Islands,Latin America & Caribbean,High income,12074992045376.8,
Cyprus,Europe & Central Asia,High income,12074992045376.8,0.0002559616148304927
Czechia,Europe & Central Asia,High income,12074992045376.8,
Germany,Europe & Central Asia,High income,12074992045376.8,0.08664684797043702
Djibouti,Middle East & North Africa,Lower middle income,936027160466.3,
Dominica,Latin America & Caribbean,Upper middle income,1184178650596.37,0.0001141398372888503
Denmark,Europe & Central Asia,High income,12074992045376.8,0.007294312060248773
Dominican Republic,Latin America & Caribbean,Upper middle income,1184178650596.37,0.0051699953524046134
Algeria,Middle East & North Africa,Lower middle income,936027160466.3,0.06804528848102065
East Asia & Pacific (excluding high income),,,,
Early-demographic dividend,,,,
East Asia & Pacific,,,,
Europe & Central Asia (excluding high income),,,,
Europe & Central Asia,,,,
Ecuador,Latin America & Caribbean,Upper middle income,1184178650596.37,0.012932291914136071
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,936027160466.3,0.04407298173959906
Euro area,,,,
Eritrea,Sub-Saharan Africa,Low income,80535193982.1,
Spain,Europe & Central Asia,High income,12074992045376.8,0.02081334704449965
Estonia,Europe & Central Asia,High income,12074992045376.8,
Ethiopia,Sub-Saharan Africa,Low income,80535193982.1,0.12228940396156468
European Union,,,,
Fragile and conflict affected situations,,,,
Finland,Europe & Central Asia,High income,12074992045376.8,0.0060895734154254215
Fiji,East Asia & Pacific,Upper middle income,1184178650596.37,0.001089555715558815
France,Europe & Central Asia,High income,12074992045376.8,0.06388997997687097
Faroe Islands,Europe & Central Asia,High income,12074992045376.8,
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,936027160466.3,0.00011987900003254224
Gabon,Sub-Saharan Africa,Upper middle income,1184178650596.37,0.002874260731086375
United Kingdom,Europe & Central Asia,High income,12074992045376.8,0.04980980506983279
Georgia,Europe & Central Asia,Upper middle income,1184178650596.37,
Ghana,Sub-Saharan Africa,Lower middle income,936027160466.3,0.006119056034812797
Gibraltar,Europe & Central Asia,High income,12074992045376.8,
Guinea,Sub-Saharan Africa,Low income,80535193982.1,0.02477409716605955
"Gambia, The",Sub-Saharan Africa,Low income,80535193982.1,0.0023051562952870305
Guinea-Bissau,Sub-Saharan Africa,Low income,80535193982.1,0.0016169951590225783
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,1184178650596.37,6.452353850622126e-05
Greece,Europe & Central Asia,High income,12074992045376.8,0.004669120547999555
Grenada,Latin America & Caribbean,Upper middle income,1184178650596.37,0.00015841319424693824
Greenland,Europe & Central Asia,High income,12074992045376.8,4.993922101430112e-05
Guatemala,Latin America & Caribbean,Upper middle income,1184178650596.37,0.006107155801498258
Guam,East Asia & Pacific,High income,12074992045376.8,
Guyana,Latin America & Caribbean,Upper middle income,1184178650596.37,0.0004261613222344873
High income,,,,
"Hong Kong SAR, China",East Asia & Pacific,High income,12074992045376.8,0.003401705809630472
Honduras,Latin America & Caribbean,Lower middle income,936027160466.3,0.006065880562879692
Heavily indebted poor countries (HIPC),,,,
Croatia,Europe & Central Asia,High income,12074992045376.8,
Haiti,Latin America & Caribbean,Lower middle income,936027160466.3,0.002476423866637848
Hungary,Europe & Central Asia,High income,12074992045376.8,
IBRD only,,,,
IDA & IBRD total,,,,
IDA total,,,,
IDA blend,,,,
Indonesia,East Asia & Pacific,Lower middle income,936027160466.3,0.08541853906159019
IDA only,,,,
Isle of Man,Europe & Central Asia,High income,12074992045376.8,
India,South Asia,Lower middle income,936027160466.3,0.2660029649951213
Ireland,Europe & Central Asia,High income,12074992045376.8,0.0023780199393997996
"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,936027160466.3,0.22338561190450423
Iraq,Middle East & North Africa,Upper middle income,1184178650596.37,0.039913332422601
Iceland,Europe & Central Asia,High income,12074992045376.8,0.000330403757121109
Israel,Middle East & North Africa,High income,12074992045376.8,
Italy,Europe & Central Asia,High income,12074992045376.8,0.05303407220422866
Jamaica,Latin America & Caribbean,Upper middle income,1184178650596.37,0.0023261407175452446
Jordan,Middle East & North Africa,Upper middle income,1184178650596.37,0.0054057963025901075
Japan,East Asia & Pacific,High income,12074992045376.8,0.1721698856767343
Kazakhstan,Europe & Central Asia,Upper middle income,1184178650596.37,
Kenya,Sub-Saharan Africa,Lower middle income,936027160466.3,0.0077338853216542235
Kyrgyz Republic,Europe & Central Asia,Lower middle income,936027160466.3,
Cambodia,East Asia & Pacific,Lower middle income,936027160466.3,
Kiribati,East Asia & Pacific,Lower middle income,936027160466.3,3.356431696314128e-05
St. Kitts and Nevis,Latin America & Caribbean,High income,12074992045376.8,1.0822796794308112e-05
"Korea, Rep.",East Asia & Pacific,High income,12074992045376.8,0.009675948403190363
Kuwait,Middle East & North Africa,High income,12074992045376.8,0.0014827075351867293
Latin America & Caribbean (excluding high income),,,,
Lao PDR,East Asia & Pacific,Lower middle income,936027160466.3,0.0018982804303614776
Lebanon,Middle East & North Africa,Lower middle income,936027160466.3,
Liberia,Sub-Saharan Africa,Low income,80535193982.1,
Libya,Middle East & North Africa,Upper middle income,1184178650596.37,
St. Lucia,Latin America & Caribbean,Upper middle income,1184178650596.37,0.0002871188395676369
Latin America & Caribbean,,,,
Least developed countries: UN classification,,,,
Low income,,,,
Liechtenstein,Europe & Central Asia,High income,12074992045376.8,6.454374169947371e-05
Sri Lanka,South Asia,Lower middle income,936027160466.3,0.006842975112825915
Lower middle income,,,,
Low & middle income,,,,
Lesotho,Sub-Saharan Africa,Lower middle income,936027160466.3,0.0003406555940547198
Late-demographic dividend,,,,
Lithuania,Europe & Central Asia,High income,12074992045376.8,
Luxembourg,Europe & Central Asia,High income,12074992045376.8,0.0005536728357978289
Latvia,Europe & Central Asia,High income,12074992045376.8,
"Macao SAR, China",East Asia & Pacific,High income,12074992045376.8,0.00012688182602874675
St. Martin (French part),Latin America & Caribbean,High income,12074992045376.8,
Morocco,Middle East & North Africa,Lower middle income,936027160466.3,0.020792319009530172
Monaco,Europe & Central Asia,High income,12074992045376.8,0.00012548327835794592
Moldova,Europe & Central Asia,Upper middle income,1184178650596.37,
Madagascar,Sub-Saharan Africa,Low income,80535193982.1,0.05398869219792774
Maldives,South Asia,Upper middle income,1184178650596.37,0.00011981490641513082
Middle East & North Africa,,,,
Mexico,Latin America & Caribbean,Upper middle income,1184178650596.37,0.11362305842301633
Marshall Islands,East Asia & Pacific,Upper middle income,1184178650596.37,4.728087267221302e-05
Middle income,,,,
North Macedonia,Europe & Central Asia,Upper middle income,1184178650596.37,
Mali,Sub-Saharan Africa,Low income,80535193982.1,0.02299818705858792
Malta,Middle East & North Africa,High income,12074992045376.8,0.00011884721700909561
Myanmar,East Asia & Pacific,Lower middle income,936027160466.3,0.001698772029443956
Middle East & North Africa (excluding high income),,,,
Montenegro,Europe & Central Asia,Upper middle income,1184178650596.37,
Mongolia,East Asia & Pacific,Lower middle income,936027160466.3,0.00309411840737315
Northern Mariana Islands,East Asia & Pacific,High income,12074992045376.8,
Mozambique,Sub-Saharan Africa,Low income,80535193982.1,
Mauritania,Sub-Saharan Africa,Lower middle income,936027160466.3,0.0012677290030866817
Mauritius,Sub-Saharan Africa,Upper middle income,1184178650596.37,0.0012353712459376475
Malawi,Sub-Saharan Africa,Low income,80535193982.1,0.01469736110976628
Malaysia,East Asia & Pacific,Upper middle income,1184178650596.37,0.02342092776797864
North America,,,,
Namibia,Sub-Saharan Africa,Upper middle income,1184178650596.37,0.0015277034939693629
New Caledonia,East Asia & Pacific,High income,12074992045376.8,9.9488389266472e-05
Niger,Sub-Saharan Africa,Low income,80535193982.1,0.023643042573700267
Nigeria,Sub-Saharan Africa,Lower middle income,936027160466.3,0.058551562279130234
Nicaragua,Latin America & Caribbean,Lower middle income,936027160466.3,0.0030829346955727516
Netherlands,Europe & Central Asia,High income,12074992045376.8,0.01663454511979615
Norway,Europe & Central Asia,High income,12074992045376.8,0.006517043901998229
Nepal,South Asia,Lower middle income,936027160466.3,0.0030456215838649664
Nauru,East Asia & Pacific,High income,12074992045376.8,
New Zealand,East Asia & Pacific,High income,12074992045376.8,0.00253454977377958
OECD members,,,,
Oman,Middle East & North Africa,High income,12074992045376.8,0.0006065281222114014
Other small states,,,,
Pakistan,South Asia,Lower middle income,936027160466.3,0.03407921415454319
Panama,Latin America & Caribbean,High income,12074992045376.8,0.000562968006476055
Peru,Latin America & Caribbean,Upper middle income,1184178650596.37,0.012873254344116722
Philippines,East Asia & Pacific,Lower middle income,936027160466.3,0.03631003499414336
Palau,East Asia & Pacific,Upper middle income,1184178650596.37,
Papua New Guinea,East Asia & Pacific,Lower middle income,936027160466.3,0.002829013812677007
Poland,Europe & Central Asia,High income,12074992045376.8,
Pre-demographic dividend,,,,
Puerto Rico,Latin America & Caribbean,High income,12074992045376.8,0.0018227175568555993
"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,80535193982.1,
Portugal,Europe & Central Asia,High income,12074992045376.8,0.0032087724123043867
Paraguay,Latin America & Caribbean,Upper middle income,1184178650596.37,0.0031447906455031433
West Bank and Gaza,Middle East & North Africa,Lower middle income,936027160466.3,
Pacific island small states,,,,
Post-demographic dividend,,,,
French Polynesia,East Asia & Pacific,High income,12074992045376.8,0.0001831908694173366
Qatar,Middle East & North Africa,High income,12074992045376.8,0.00041847000246552295
Romania,Europe & Central Asia,High income,12074992045376.8,
Russian Federation,Europe & Central Asia,Upper middle income,1184178650596.37,
Rwanda,Sub-Saharan Africa,Low income,80535193982.1,0.024147344345283844
South Asia,,,,
Saudi Arabia,Middle East & North Africa,High income,12074992045376.8,0.007201827768018736
Sudan,Sub-Saharan Africa,Low income,80535193982.1,0.12531415771151086
Senegal,Sub-Saharan Africa,Lower middle income,936027160466.3,0.005760616503172647
Singapore,East Asia & Pacific,High income,12074992045376.8,0.0015392760498021511
Solomon Islands,East Asia & Pacific,Lower middle income,936027160466.3,0.00015770914962174839
Sierra Leone,Sub-Saharan Africa,Low income,80535193982.1,0.006086549648206587
El Salvador,Latin America & Caribbean,Lower middle income,936027160466.3,0.00402943777627251
San Marino,Europe & Central Asia,High income,12074992045376.8,
Somalia,Sub-Saharan Africa,Low income,80535193982.1,0.01155170378687826
Serbia,Europe & Central Asia,Upper middle income,1184178650596.37,
Sub-Saharan Africa (excluding high income),,,,
South Sudan,Sub-Saharan Africa,Low income,80535193982.1,
Sub-Saharan Africa,,,,
Small states,,,,
Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,936027160466.3,
Suriname,Latin America & Caribbean,Upper middle income,1184178650596.37,0.0007524202531022486
Slovak Republic,Europe & Central Asia,High income,12074992045376.8,
Slovenia,Europe & Central Asia,High income,12074992045376.8,
Sweden,Europe & Central Asia,High income,12074992045376.8,0.012463610695099527
Eswatini,Sub-Saharan Africa,Lower middle income,936027160466.3,0.0004798435635951514
Sint Maarten (Dutch part),Latin America & Caribbean,High income,12074992045376.8,
Seychelles,Sub-Saharan Africa,High income,12074992045376.8,1.721331350107022e-05
Syrian Arab Republic,Middle East & North Africa,Low income,80535193982.1,0.3161429889727336
Turks and Caicos Islands,Latin America & Caribbean,High income,12074992045376.8,
Chad,Sub-Saharan Africa,Low income,80535193982.1,0.013259150368934838
East Asia & Pacific (IDA & IBRD countries),,,,
Europe & Central Asia (IDA & IBRD countries),,,,
Togo,Sub-Saharan Africa,Low income,80535193982.1,0.01317326851209673
Thailand,East Asia & Pacific,Upper middle income,1184178650596.37,0.03639378745791087
Tajikistan,Europe & Central Asia,Lower middle income,936027160466.3,
Turkmenistan,Europe & Central Asia,Upper middle income,1184178650596.37,
Latin America & the Caribbean (IDA & IBRD countries),,,,
Timor-Leste,East Asia & Pacific,Lower middle income,936027160466.3,
Middle East & North Africa (IDA & IBRD countries),,,,
Tonga,East Asia & Pacific,Upper middle income,1184178650596.37,5.758916154725095e-05
South Asia (IDA & IBRD),,,,
Sub-Saharan Africa (IDA & IBRD countries),,,,
Trinidad and Tobago,Latin America & Caribbean,High income,12074992045376.8,0.000397055702064472
Tunisia,Middle East & North Africa,Lower middle income,936027160466.3,0.009634481135683543
Turkiye,Europe & Central Asia,Upper middle income,1184178650596.37,0.0639498186568912
Tuvalu,East Asia & Pacific,Upper middle income,1184178650596.37,
Tanzania,Sub-Saharan Africa,Lower middle income,936027160466.3,
Uganda,Sub-Saharan Africa,Low income,80535193982.1,0.048714505150034025
Ukraine,Europe & Central Asia,Lower middle income,936027160466.3,
Upper middle income,,,,
Uruguay,Latin America & Caribbean,High income,12074992045376.8,0.0004869661831579708
United States,North America,High income,12074992045376.8,0.37926567427871893
Uzbekistan,Europe & Central Asia,Lower middle income,936027160466.3,
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,1184178650596.37,0.0001358297218236414
"Venezuela, RB",Latin America & Caribbean,,,
British Virgin Islands,Latin America & Caribbean,High income,12074992045376.8,
Virgin Islands (U.S.),Latin America & Caribbean,High income,12074992045376.8,
Vietnam,East Asia & Pacific,Lower middle income,936027160466.3,0.028136594067291708
Vanuatu,East Asia & Pacific,Lower middle income,936027160466.3,0.00013514451358118937
World,,,,
Samoa,East Asia & Pacific,Lower middle income,936027160466.3,0.00010784713613407421
Kosovo,Europe & Central Asia,Upper middle income,1184178650596.37,
"Yemen, Rep.",Middle East & North Africa,Low income,80535193982.1,
South Africa,Sub-Saharan Africa,Upper middle income,1184178650596.37,0.0619457056349204
Zambia,Sub-Saharan Africa,Low income,80535193982.1,0.020636303655882295
Zimbabwe,Sub-Saharan Africa,Lower middle income,936027160466.3,0.006642460777422976
