Country Name,Region,IncomeGroup,TotalGDP,GDPPercentage
Aruba,Latin America & Caribbean,High income,6688714567169.82,
Africa Eastern and Southern,,,,
Afghanistan,South Asia,Low income,53805074107.8,0.06133250745809504
Africa Western and Central,,,,
Angola,Sub-Saharan Africa,Lower middle income,473353509052.42,
Albania,Europe & Central Asia,Upper middle income,785372929628.41,
Andorra,Europe & Central Asia,High income,6688714567169.82,4.604904193577019e-05
Arab World,,,,
United Arab Emirates,Middle East & North Africa,High income,6688714567169.82,0.003554618984595154
Argentina,Latin America & Caribbean,Upper middle income,785372929628.41,0.07395578325252594
Armenia,Europe & Central Asia,Upper middle income,785372929628.41,
American Samoa,East Asia & Pacific,Upper middle income,785372929628.41,
Antigua and Barbuda,Latin America & Caribbean,High income,6688714567169.82,1.3138449936455307e-05
Australia,East Asia & Pacific,High income,6688714567169.82,0.017715661030238656
Austria,Europe & Central Asia,High income,6688714567169.82,0.009277157583845893
Azerbaijan,Europe & Central Asia,Upper middle income,785372929628.41,
Burundi,Sub-Saharan Africa,Low income,53805074107.8,0.01134141278901309
Belgium,Europe & Central Asia,High income,6688714567169.82,0.015136989175311812
Benin,Sub-Saharan Africa,Lower middle income,473353509052.42,0.0019622613692236055
Burkina Faso,Sub-Saharan Africa,Low income,53805074107.8,0.027424613895032028
Bangladesh,South Asia,Lower middle income,473353509052.42,0.028058875426080668
Bulgaria,Europe & Central Asia,Upper middle income,785372929628.41,
Bahrain,Middle East & North Africa,High income,6688714567169.82,
"Bahamas, The",Latin America & Caribbean,High income,6688714567169.82,0.0001244484260227913
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,785372929628.41,
Belarus,Europe & Central Asia,Upper middle income,785372929628.41,
Belize,Latin America & Caribbean,Upper middle income,785372929628.41,0.00017354812581137568
Bermuda,North America,High income,6688714567169.82,7.113474423551671e-05
Bolivia,Latin America & Caribbean,Lower middle income,473353509052.42,0.007939564866696294
