Country Name,Region,IncomeGroup,TotalGDP,GDPPercentage
Aruba,Latin America & Caribbean,High income,1758940115584.85,
Africa Eastern and Southern,,,,
Afghanistan,South Asia,Low income,16059534734.47,0.08551514036407874
Africa Western and Central,,,,
Angola,Sub-Saharan Africa,Lower middle income,129843798079.99,
Albania,Europe & Central Asia,Upper middle income,228538177964.07,
Andorra,Europe & Central Asia,High income,1758940115584.85,
Arab World,,,,
United Arab Emirates,Middle East & North Africa,High income,1758940115584.85,
Argentina,Latin America & Caribbean,Upper middle income,228538177964.07,0.115678078308458
Armenia,Europe & Central Asia,Upper middle income,228538177964.07,
American Samoa,East Asia & Pacific,Upper middle income,228538177964.07,
Antigua and Barbuda,Latin America & Caribbean,High income,1758940115584.85,
Australia,East Asia & Pacific,High income,1758940115584.85,0.018597853053753933
Austria,Europe & Central Asia,High income,1758940115584.85,0.007072796397541638
Azerbaijan,Europe & Central Asia,Upper middle income,228538177964.07,
Burundi,Sub-Saharan Africa,Low income,16059534734.47,0.011407553396100676
Belgium,Europe & Central Asia,High income,1758940115584.85,0.0121529737843817
Benin,Sub-Saharan Africa,Lower middle income,129843798079.99,0.0025131974127787704
Burkina Faso,Sub-Saharan Africa,Low income,16059534734.47,0.02867098492036081
Bangladesh,South Asia,Lower middle income,129843798079.99,0.05763606413753925
Bulgaria,Europe & Central Asia,Upper middle income,228538177964.07,
Bahrain,Middle East & North Africa,High income,1758940115584.85,
"Bahamas, The",Latin America & Caribbean,High income,1758940115584.85,0.0002529375257622511
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,228538177964.07,
Belarus,Europe & Central Asia,Upper middle income,228538177964.07,
Belize,Latin America & Caribbean,Upper middle income,228538177964.07,0.0001965106226017984
Bermuda,North America,High income,1758940115584.85,8.527862811868657e-05
Bolivia,Latin America & Caribbean,Lower middle income,129843798079.99,0.00660726558053612
Brazil,Latin America & Caribbean,Upper middle income,228538177964.07,0.14846734898855468
Barbados,Latin America & Caribbean,High income,1758940115584.85,
Brunei Darussalam,East Asia & Pacific,High income,1758940115584.85,9.142965424182583e-05
Bhutan,South Asia,Lower middle income,129843798079.99,
Botswana,Sub-Saharan Africa,Upper middle income,228538177964.07,0.0002898782917155108
Central African Republic,Sub-Saharan Africa,Low income,16059534734.47,0.011941033172548429
Canada,North America,High income,1758940115584.85,0.04083698466113867
Central Europe and the Baltics,,,,
Switzerland,Europe & Central Asia,High income,1758940115584.85,0.010769400055840738
Channel Islands,Europe & Central Asia,High income,1758940115584.85,
Chile,Latin America & Caribbean,High income,1758940115584.85,0.004074662288668613
China,East Asia & Pacific,Upper middle income,228538177964.07,0.3099986868151992
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,129843798079.99,0.00986786635131136
Cameroon,Sub-Saharan Africa,Lower middle income,129843798079.99,0.00805730583570496
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,16059534734.47,0.24345540538033722
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,129843798079.99,0.0019349977566523395
Colombia,Latin America & Caribbean,Upper middle income,228538177964.07,0.026079725156192696
Comoros,Sub-Saharan Africa,Lower middle income,129843798079.99,
Cabo Verde,Sub-Saharan Africa,Lower middle income,129843798079.99,
Costa Rica,Latin America & Caribbean,Upper middle income,228538177964.07,0.003386049110891488
Caribbean small states,,,,
Cuba,Latin America & Caribbean,Upper middle income,228538177964.07,
Curacao,Latin America & Caribbean,High income,1758940115584.85,
Cayman Islands,Latin America & Caribbean,High income,1758940115584.85,
Cyprus,Europe & Central Asia,High income,1758940115584.85,
Czechia,Europe & Central Asia,High income,1758940115584.85,
Germany,Europe & Central Asia,High income,1758940115584.85,
Djibouti,Middle East & North Africa,Lower middle income,129843798079.99,
Dominica,Latin America & Caribbean,Upper middle income,228538177964.07,
Denmark,Europe & Central Asia,High income,1758940115584.85,0.0076782454088889646
Dominican Republic,Latin America & Caribbean,Upper middle income,228538177964.07,0.004721749379526656
Algeria,Middle East & North Africa,Lower middle income,129843798079.99,0.029667306979320737
East Asia & Pacific (excluding high income),,,,
Early-demographic dividend,,,,
East Asia & Pacific,,,,
Europe & Central Asia (excluding high income),,,,
Europe & Central Asia,,,,
Ecuador,Latin America & Caribbean,Upper middle income,228538177964.07,0.011298684609299553
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,129843798079.99,0.04568753439687165
Euro area,,,,
Eritrea,Sub-Saharan Africa,Low income,16059534734.47,
Spain,Europe & Central Asia,High income,1758940115584.85,0.01789461062495259
Estonia,Europe & Central Asia,High income,1758940115584.85,
Ethiopia,Sub-Saharan Africa,Low income,16059534734.47,
European Union,,,,
Fragile and conflict affected situations,,,,
Finland,Europe & Central Asia,High income,1758940115584.85,0.005016108167540615
Fiji,East Asia & Pacific,Upper middle income,228538177964.07,0.0007305253703661179
France,Europe & Central Asia,High income,1758940115584.85,0.07378591166922491
Faroe Islands,Europe & Central Asia,High income,1758940115584.85,
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,129843798079.99,
Gabon,Sub-Saharan Africa,Upper middle income,228538177964.07,0.0012884874077638588
United Kingdom,Europe & Central Asia,High income,1758940115584.85,0.06126416644046443
Georgia,Europe & Central Asia,Upper middle income,228538177964.07,
Ghana,Sub-Saharan Africa,Lower middle income,129843798079.99,0.01283781120583906
Gibraltar,Europe & Central Asia,High income,1758940115584.85,
Guinea,Sub-Saharan Africa,Low income,16059534734.47,
"Gambia, The",Sub-Saharan Africa,Low income,16059534734.47,0.0025630044238861564
Guinea-Bissau,Sub-Saharan Africa,Low income,16059534734.47,
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,228538177964.07,0.0002954179748497617
Greece,Europe & Central Asia,High income,1758940115584.85,0.005736793318654192
Grenada,Latin America & Caribbean,Upper middle income,228538177964.07,
Greenland,Europe & Central Asia,High income,1758940115584.85,
Guatemala,Latin America & Caribbean,Upper middle income,228538177964.07,0.007046962631570456
Guam,East Asia & Pacific,High income,1758940115584.85,
Guyana,Latin America & Caribbean,Upper middle income,228538177964.07,0.0010053024927682785
High income,,,,
"Hong Kong SAR, China",East Asia & Pacific,High income,1758940115584.85,0.001544659971039779
Honduras,Latin America & Caribbean,Lower middle income,129843798079.99,0.004981369996598067
Heavily indebted poor countries (HIPC),,,,
Croatia,Europe & Central Asia,High income,1758940115584.85,
Haiti,Latin America & Caribbean,Lower middle income,129843798079.99,0.0028339343537479825
Hungary,Europe & Central Asia,High income,1758940115584.85,
IBRD only,,,,
IDA & IBRD total,,,,
IDA total,,,,
IDA blend,,,,
Indonesia,East Asia & Pacific,Lower middle income,129843798079.99,0.05449983287334646
IDA only,,,,
Isle of Man,Europe & Central Asia,High income,1758940115584.85,
India,South Asia,Lower middle income,129843798079.99,0.4088409046560454
Ireland,Europe & Central Asia,High income,1758940115584.85,0.0018639545763670675
"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,129843798079.99,0.06641189712186109
Iraq,Middle East & North Africa,Upper middle income,228538177964.07,0.012675989892837284
Iceland,Europe & Central Asia,High income,1758940115584.85,0.00026970757412185205
Israel,Middle East & North Africa,High income,1758940115584.85,0.0026260132218680885
Italy,Europe & Central Asia,High income,1758940115584.85,0.04999728580797026
Jamaica,Latin America & Caribbean,Upper middle income,228538177964.07,0.00474267960240063
Jordan,Middle East & North Africa,Upper middle income,228538177964.07,0.002455551836018523
Japan,East Asia & Pacific,High income,1758940115584.85,0.08334621440551714
Kazakhstan,Europe & Central Asia,Upper middle income,228538177964.07,
Kenya,Sub-Saharan Africa,Lower middle income,129843798079.99,0.010422488235951825
Kyrgyz Republic,Europe & Central Asia,Lower middle income,129843798079.99,
Cambodia,East Asia & Pacific,Lower middle income,129843798079.99,0.008207663860413794
Kiribati,East Asia & Pacific,Lower middle income,129843798079.99,
St. Kitts and Nevis,Latin America & Caribbean,High income,1758940115584.85,8.300453136885492e-06
"Korea, Rep.",East Asia & Pacific,High income,1758940115584.85,0.003478961131070303
Kuwait,Middle East & North Africa,High income,1758940115584.85,0.0015140478919116066
Latin America & Caribbean (excluding high income),,,,
Lao PDR,East Asia & Pacific,Lower middle income,129843798079.99,
Lebanon,Middle East & North Africa,Lower middle income,129843798079.99,
Liberia,Sub-Saharan Africa,Low income,16059534734.47,
Libya,Middle East & North Africa,Upper middle income,228538177964.07,
St. Lucia,Latin America & Caribbean,Upper middle income,228538177964.07,
Latin America & Caribbean,,,,
Least developed countries: UN classification,,,,
Low income,,,,
Liechtenstein,Europe & Central Asia,High income,1758940115584.85,
Sri Lanka,South Asia,Lower middle income,129843798079.99,0.01387316579333489
Lower middle income,,,,
Low & middle income,,,,
Lesotho,Sub-Saharan Africa,Lower middle income,129843798079.99,0.0004732206852278541
Late-demographic dividend,,,,
Lithuania,Europe & Central Asia,High income,1758940115584.85,
Luxembourg,Europe & Central Asia,High income,1758940115584.85,0.0006063009886185948
Latvia,Europe & Central Asia,High income,1758940115584.85,
"Macao SAR, China",East Asia & Pacific,High income,1758940115584.85,
St. Martin (French part),Latin America & Caribbean,High income,1758940115584.85,
Morocco,Middle East & North Africa,Lower middle income,129843798079.99,0.025195010592532506
Monaco,Europe & Central Asia,High income,1758940115584.85,
Moldova,Europe & Central Asia,Upper middle income,228538177964.07,
Madagascar,Sub-Saharan Africa,Low income,16059534734.47,0.06424031910374317
Maldives,South Asia,Upper middle income,228538177964.07,
Middle East & North Africa,,,,
Mexico,Latin America & Caribbean,Upper middle income,228538177964.07,0.12846868852089946
Marshall Islands,East Asia & Pacific,Upper middle income,228538177964.07,
Middle income,,,,
North Macedonia,Europe & Central Asia,Upper middle income,228538177964.07,
Mali,Sub-Saharan Africa,Low income,16059534734.47,0.021406097933966407
Malta,Middle East & North Africa,High income,1758940115584.85,
Myanmar,East Asia & Pacific,Lower middle income,129843798079.99,0.0040909644145865455
Middle East & North Africa (excluding high income),,,,
Montenegro,Europe & Central Asia,Upper middle income,228538177964.07,
Mongolia,East Asia & Pacific,Lower middle income,129843798079.99,
Northern Mariana Islands,East Asia & Pacific,High income,1758940115584.85,
Mozambique,Sub-Saharan Africa,Low income,16059534734.47,
Mauritania,Sub-Saharan Africa,Lower middle income,129843798079.99,0.0023982354560220516
Mauritius,Sub-Saharan Africa,Upper middle income,228538177964.07,
Malawi,Sub-Saharan Africa,Low income,16059534734.47,0.015266308199687153
Malaysia,East Asia & Pacific,Upper middle income,228538177964.07,0.014572590626514897
North America,,,,
Namibia,Sub-Saharan Africa,Upper middle income,228538177964.07,
New Caledonia,East Asia & Pacific,High income,1758940115584.85,0.00012252103439481995
Niger,Sub-Saharan Africa,Low income,16059534734.47,0.03992732176254803
Nigeria,Sub-Saharan Africa,Lower middle income,129843798079.99,0.040055020408414105
Nicaragua,Latin America & Caribbean,Lower middle income,129843798079.99,0.005359516516694099
Netherlands,Europe & Central Asia,High income,1758940115584.85,0.01581498170206358
Norway,Europe & Central Asia,High income,1758940115584.85,0.005776168299863812
Nepal,South Asia,Lower middle income,129843798079.99,0.005947366411172524
Nauru,East Asia & Pacific,High income,1758940115584.85,
New Zealand,East Asia & Pacific,High income,1758940115584.85,0.002945295053025409
OECD members,,,,
Oman,Middle East & North Africa,High income,1758940115584.85,0.000107374258581397
Other small states,,,,
Pakistan,South Asia,Lower middle income,129843798079.99,0.06193595134244104
Panama,Latin America & Caribbean,High income,1758940115584.85,0.0006326486559378944
Peru,Latin America & Caribbean,Upper middle income,228538177964.07,0.025099017967587924
Philippines,East Asia & Pacific,Lower middle income,129843798079.99,0.06648564965483998
Palau,East Asia & Pacific,Upper middle income,228538177964.07,
Papua New Guinea,East Asia & Pacific,Lower middle income,129843798079.99,0.0037364959395374256
Poland,Europe & Central Asia,High income,1758940115584.85,
Pre-demographic dividend,,,,
Puerto Rico,Latin America & Caribbean,High income,1758940115584.85,0.002240951789702846
"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,16059534734.47,
Portugal,Europe & Central Asia,High income,1758940115584.85,0.0036125519974778667
Paraguay,Latin America & Caribbean,Upper middle income,228538177964.07,0.0022650517226989676
West Bank and Gaza,Middle East & North Africa,Lower middle income,129843798079.99,
Pacific island small states,,,,
Post-demographic dividend,,,,
French Polynesia,East Asia & Pacific,High income,1758940115584.85,0.0001475832360635461
Qatar,Middle East & North Africa,High income,1758940115584.85,
Romania,Europe & Central Asia,High income,1758940115584.85,
Russian Federation,Europe & Central Asia,Upper middle income,228538177964.07,
Rwanda,Sub-Saharan Africa,Low income,16059534734.47,0.010722603166727606
South Asia,,,,
Saudi Arabia,Middle East & North Africa,High income,1758940115584.85,0.002380852920400623
Sudan,Sub-Saharan Africa,Low income,16059534734.47,0.12125714506661679
Senegal,Sub-Saharan Africa,Lower middle income,129843798079.99,0.010084307832657177
Singapore,East Asia & Pacific,High income,1758940115584.85,0.000810553692742375
Solomon Islands,East Asia & Pacific,Lower middle income,129843798079.99,0.00021629260061153445
Sierra Leone,Sub-Saharan Africa,Low income,16059534734.47,0.02053982866589479
El Salvador,Latin America & Caribbean,Lower middle income,129843798079.99,0.007776729539118529
San Marino,Europe & Central Asia,High income,1758940115584.85,
Somalia,Sub-Saharan Africa,Low income,16059534734.47,0.01785346116438798
Serbia,Europe & Central Asia,Upper middle income,228538177964.07,
Sub-Saharan Africa (excluding high income),,,,
South Sudan,Sub-Saharan Africa,Low income,16059534734.47,
Sub-Saharan Africa,,,,
Small states,,,,
Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,129843798079.99,
Suriname,Latin America & Caribbean,Upper middle income,228538177964.07,0.0010560598765163177
Slovak Republic,Europe & Central Asia,High income,1758940115584.85,
Slovenia,Europe & Central Asia,High income,1758940115584.85,
Sweden,Europe & Central Asia,High income,1758940115584.85,0.017662238557035945
Eswatini,Sub-Saharan Africa,Lower middle income,129843798079.99,0.0006145723185087389
Sint Maarten (Dutch part),Latin America & Caribbean,High income,1758940115584.85,
Seychelles,Sub-Saharan Africa,High income,1758940115584.85,9.13847333833498e-06
Syrian Arab Republic,Middle East & North Africa,Low income,16059534734.47,0.09728198573814782
Turks and Caicos Islands,Latin America & Caribbean,High income,1758940115584.85,
Chad,Sub-Saharan Africa,Low income,16059534734.47,0.02826857092102316
East Asia & Pacific (IDA & IBRD countries),,,,
Europe & Central Asia (IDA & IBRD countries),,,,
Togo,Sub-Saharan Africa,Low income,16059534734.47,0.015066246606800287
Thailand,East Asia & Pacific,Upper middle income,228538177964.07,0.026608286992451807
Tajikistan,Europe & Central Asia,Lower middle income,129843798079.99,
Turkmenistan,Europe & Central Asia,Upper middle income,228538177964.07,
Latin America & the Caribbean (IDA & IBRD countries),,,,
Timor-Leste,East Asia & Pacific,Lower middle income,129843798079.99,
Middle East & North Africa (IDA & IBRD countries),,,,
Tonga,East Asia & Pacific,Upper middle income,228538177964.07,
South Asia (IDA & IBRD),,,,
Sub-Saharan Africa (IDA & IBRD countries),,,,
Trinidad and Tobago,Latin America & Caribbean,High income,1758940115584.85,0.00043145297743559885
Tunisia,Middle East & North Africa,Lower middle income,129843798079.99,0.009354830072451416
Turkiye,Europe & Central Asia,Upper middle income,228538177964.07,0.0765736392750593
Tuvalu,East Asia & Pacific,Upper middle income,228538177964.07,
Tanzania,Sub-Saharan Africa,Lower middle income,129843798079.99,
Uganda,Sub-Saharan Africa,Low income,16059534734.47,0.06462298834675737
Ukraine,Europe & Central Asia,Lower middle income,129843798079.99,
Upper middle income,,,,
Uruguay,Latin America & Caribbean,High income,1758940115584.85,0.0009060429720599673
United States,North America,High income,1758940115584.85,0.5358340466790806
Uzbekistan,Europe & Central Asia,Lower middle income,129843798079.99,
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,228538177964.07,6.7166020735552e-05
"Venezuela, RB",Latin America & Caribbean,,,
British Virgin Islands,Latin America & Caribbean,High income,1758940115584.85,
Virgin Islands (U.S.),Latin America & Caribbean,High income,1758940115584.85,
Vietnam,East Asia & Pacific,Lower middle income,129843798079.99,
Vanuatu,East Asia & Pacific,Lower middle income,129843798079.99,
World,,,,
Samoa,East Asia & Pacific,Lower middle income,129843798079.99,
Kosovo,Europe & Central Asia,Upper middle income,228538177964.07,
"Yemen, Rep.",Middle East & North Africa,Low income,16059534734.47,
South Africa,Sub-Saharan Africa,Upper middle income,228538177964.07,0.07493187050652124
Zambia,Sub-Saharan Africa,Low income,16059534734.47,0.09999400166638743
Zimbabwe,Sub-Saharan Africa,Lower middle income,129843798079.99,0.011395229667330708
