Country Name,Region,IncomeGroup,TotalGDP,GDPPercentage
Aruba,Latin America & Caribbean,High income,1149102923846.45,
Africa Eastern and Southern,,,,
Afghanistan,South Asia,Low income,14468281927.1,0.05191433197697935
Africa Western and Central,,,,
Angola,Sub-Saharan Africa,Lower middle income,91134270748.95,
Albania,Europe & Central Asia,Upper middle income,152951047706.31,
Andorra,Europe & Central Asia,High income,1149102923846.45,
Arab World,,,,
United Arab Emirates,Middle East & North Africa,High income,1149102923846.45,
Argentina,Latin America & Caribbean,Upper middle income,152951047706.31,0.11946386728311495
Armenia,Europe & Central Asia,Upper middle income,152951047706.31,
American Samoa,East Asia & Pacific,Upper middle income,152951047706.31,
Antigua and Barbuda,Latin America & Caribbean,High income,1149102923846.45,
Australia,East Asia & Pacific,High income,1149102923846.45,0.018744018216316143
Austria,Europe & Central Asia,High income,1149102923846.45,0.0072875763208126755
Azerbaijan,Europe & Central Asia,Upper middle income,152951047706.31,
Burundi,Sub-Saharan Africa,Low income,14468281927.1,0.016086913371797424
Belgium,Europe & Central Asia,High income,1149102923846.45,0.012409695503399059
Benin,Sub-Saharan Africa,Lower middle income,91134270748.95,0.0027863025008396814
Burkina Faso,Sub-Saharan Africa,Low income,14468281927.1,0.02723478781277667
Bangladesh,South Asia,Lower middle income,91134270748.95,0.05836946197390062
Bulgaria,Europe & Central Asia,Upper middle income,152951047706.31,
Bahrain,Middle East & North Africa,High income,1149102923846.45,
"Bahamas, The",Latin America & Caribbean,High income,1149102923846.45,0.0002068962606101322
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,152951047706.31,
Belarus,Europe & Central Asia,Upper middle income,152951047706.31,
Belize,Latin America & Caribbean,Upper middle income,152951047706.31,0.00022065494493901178
Bermuda,North America,High income,1149102923846.45,8.386250726560425e-05
Bolivia,Latin America & Caribbean,Lower middle income,91134270748.95,0.0052538522134991305
Brazil,Latin America & Caribbean,Upper middle income,152951047706.31,0.15225598795972983
Barbados,Latin America & Caribbean,High income,1149102923846.45,
Brunei Darussalam,East Asia & Pacific,High income,1149102923846.45,
Bhutan,South Asia,Lower middle income,91134270748.95,
Botswana,Sub-Saharan Africa,Upper middle income,152951047706.31,0.0002490414491513715
Central African Republic,Sub-Saharan Africa,Low income,14468281927.1,0.008942257176898442
Canada,North America,High income,1149102923846.45,0.03918708030980276
Central Europe and the Baltics,,,,
Switzerland,Europe & Central Asia,High income,1149102923846.45,0.011368558485841642
Channel Islands,Europe & Central Asia,High income,1149102923846.45,
Chile,Latin America & Caribbean,High income,1149102923846.45,0.004932706533394408
China,East Asia & Pacific,Upper middle income,152951047706.31,0.3315230635122226
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,91134270748.95,0.008350832672996052
Cameroon,Sub-Saharan Africa,Lower middle income,91134270748.95,0.007882004162613834
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,14468281927.1,0.4294349373550921
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,91134270748.95,0.0018898865320868812
Colombia,Latin America & Caribbean,Upper middle income,152951047706.31,0.031619048967132274
Comoros,Sub-Saharan Africa,Lower middle income,91134270748.95,
Cabo Verde,Sub-Saharan Africa,Lower middle income,91134270748.95,
Costa Rica,Latin America & Caribbean,Upper middle income,152951047706.31,0.003346836419080518
Caribbean small states,,,,
Cuba,Latin America & Caribbean,Upper middle income,152951047706.31,
Curacao,Latin America & Caribbean,High income,1149102923846.45,
Cayman Islands,Latin America & Caribbean,High income,1149102923846.45,
Cyprus,Europe & Central Asia,High income,1149102923846.45,
Czechia,Europe & Central Asia,High income,1149102923846.45,
Germany,Europe & Central Asia,High income,1149102923846.45,
Djibouti,Middle East & North Africa,Lower middle income,91134270748.95,
Dominica,Latin America & Caribbean,Upper middle income,152951047706.31,
Denmark,Europe & Central Asia,High income,1149102923846.45,
Dominican Republic,Latin America & Caribbean,Upper middle income,152951047706.31,0.006150986960262498
Algeria,Middle East & North Africa,Lower middle income,91134270748.95,0.02965909636173988
East Asia & Pacific (excluding high income),,,,
Early-demographic dividend,,,,
East Asia & Pacific,,,,
Europe & Central Asia (excluding high income),,,,
Europe & Central Asia,,,,
Ecuador,Latin America & Caribbean,Upper middle income,152951047706.31,0.01192763645204332
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,91134270748.95,
Euro area,,,,
Eritrea,Sub-Saharan Africa,Low income,14468281927.1,
Spain,Europe & Central Asia,High income,1149102923846.45,0.01659983066107741
Estonia,Europe & Central Asia,High income,1149102923846.45,
Ethiopia,Sub-Saharan Africa,Low income,14468281927.1,
European Union,,,,
Fragile and conflict affected situations,,,,
Finland,Europe & Central Asia,High income,1149102923846.45,0.005992431301062582
Fiji,East Asia & Pacific,Upper middle income,152951047706.31,0.0008463801362679998
France,Europe & Central Asia,High income,1149102923846.45,0.07376118652825396
Faroe Islands,Europe & Central Asia,High income,1149102923846.45,
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,91134270748.95,
Gabon,Sub-Saharan Africa,Upper middle income,152951047706.31,0.0010099979471642868
United Kingdom,Europe & Central Asia,High income,1149102923846.45,0.07533003355543366
Georgia,Europe & Central Asia,Upper middle income,152951047706.31,
Ghana,Sub-Saharan Africa,Lower middle income,91134270748.95,0.016904905622649645
Gibraltar,Europe & Central Asia,High income,1149102923846.45,
Guinea,Sub-Saharan Africa,Low income,14468281927.1,
"Gambia, The",Sub-Saharan Africa,Low income,14468281927.1,
Guinea-Bissau,Sub-Saharan Africa,Low income,14468281927.1,
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,152951047706.31,7.087297074822713e-05
