Country Name,Region,IncomeGroup,TotalGDP,GDPPercentage
Aruba,Latin America & Caribbean,High income,2556625194892.8,
Africa Eastern and Southern,,,,
Afghanistan,South Asia,Low income,20770979033.71,0.08815708532699516
Africa Western and Central,,,,
Angola,Sub-Saharan Africa,Lower middle income,168626358779.41,
Albania,Europe & Central Asia,Upper middle income,311209045257.51,
Andorra,Europe & Central Asia,High income,2556625194892.8,3.4971813834350084e-05
Arab World,,,,
United Arab Emirates,Middle East & North Africa,High income,2556625194892.8,
Argentina,Latin America & Caribbean,Upper middle income,311209045257.51,0.10698017812255918
Armenia,Europe & Central Asia,Upper middle income,311209045257.51,
American Samoa,East Asia & Pacific,Upper middle income,311209045257.51,
Antigua and Barbuda,Latin America & Caribbean,High income,2556625194892.8,
Australia,East Asia & Pacific,High income,2556625194892.8,0.01768521635291788
Austria,Europe & Central Asia,High income,2556625194892.8,0.006985179565105871
Azerbaijan,Europe & Central Asia,Upper middle income,311209045257.51,
Burundi,Sub-Saharan Africa,Low income,20770979033.71,0.012172863170756313
Belgium,Europe & Central Asia,High income,2556625194892.8,0.011664463735072607
Benin,Sub-Saharan Africa,Lower middle income,168626358779.41,0.0019870735371705947
Burkina Faso,Sub-Saharan Africa,Low income,20770979033.71,0.023225246292775944
Bangladesh,South Asia,Lower middle income,168626358779.41,0.05190079951526912
Bulgaria,Europe & Central Asia,Upper middle income,311209045257.51,
Bahrain,Middle East & North Africa,High income,2556625194892.8,
"Bahamas, The",Latin America & Caribbean,High income,2556625194892.8,0.0002242800396184169
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,311209045257.51,
Belarus,Europe & Central Asia,Upper middle income,311209045257.51,
Belize,Latin America & Caribbean,Upper middle income,311209045257.51,0.00019024934516607283
Bermuda,North America,High income,2556625194892.8,8.256978786788945e-05
Bolivia,Latin America & Caribbean,Lower middle income,168626358779.41,0.006497340652615576
Brazil,Latin America & Caribbean,Upper middle income,311209045257.51,0.15703216743447365
Barbados,Latin America & Caribbean,High income,2556625194892.8,
Brunei Darussalam,East Asia & Pacific,High income,2556625194892.8,7.725934157051214e-05
Bhutan,South Asia,Lower middle income,168626358779.41,
Botswana,Sub-Saharan Africa,Upper middle income,311209045257.51,0.00040955263686033317
Central African Republic,Sub-Saharan Africa,Low income,20770979033.71,0.009698665049589527
Canada,North America,High income,2556625194892.8,0.038829298081435246
Central Europe and the Baltics,,,,
Switzerland,Europe & Central Asia,High income,2556625194892.8,
Channel Islands,Europe & Central Asia,High income,2556625194892.8,
Chile,Latin America & Caribbean,High income,2556625194892.8,0.004257219546980321
China,East Asia & Pacific,Upper middle income,311209045257.51,0.32068784686325447
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,168626358779.41,0.009394309842580962
Cameroon,Sub-Saharan Africa,Lower middle income,168626358779.41,0.007335396494080235
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,20770979033.71,0.26935515894171563
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,168626358779.41,0.0019103064410078054
Colombia,Latin America & Caribbean,Upper middle income,311209045257.51,0.025129028510495328
Comoros,Sub-Saharan Africa,Lower middle income,168626358779.41,
Cabo Verde,Sub-Saharan Africa,Lower middle income,168626358779.41,
Costa Rica,Latin America & Caribbean,Upper middle income,311209045257.51,0.0034611876435298003
Caribbean small states,,,,
Cuba,Latin America & Caribbean,Upper middle income,311209045257.51,0.022218693528905833
Curacao,Latin America & Caribbean,High income,2556625194892.8,
Cayman Islands,Latin America & Caribbean,High income,2556625194892.8,
Cyprus,Europe & Central Asia,High income,2556625194892.8,
Czechia,Europe & Central Asia,High income,2556625194892.8,
Germany,Europe & Central Asia,High income,2556625194892.8,0.09777929142659567
Djibouti,Middle East & North Africa,Lower middle income,168626358779.41,
Dominica,Latin America & Caribbean,Upper middle income,311209045257.51,
Denmark,Europe & Central Asia,High income,2556625194892.8,0.007465205025017471
Dominican Republic,Latin America & Caribbean,Upper middle income,311209045257.51,0.005354921476080665
Algeria,Middle East & North Africa,Lower middle income,168626358779.41,0.030109304403837668
East Asia & Pacific (excluding high income),,,,
Early-demographic dividend,,,,
East Asia & Pacific,,,,
Europe & Central Asia (excluding high income),,,,
Europe & Central Asia,,,,
Ecuador,Latin America & Caribbean,Upper middle income,311209045257.51,0.008850064948211963
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,168626358779.41,0.051055383086711294
Euro area,,,,
Eritrea,Sub-Saharan Africa,Low income,20770979033.71,
Spain,Europe & Central Asia,High income,2556625194892.8,0.018234749642665072
Estonia,Europe & Central Asia,High income,2556625194892.8,
Ethiopia,Sub-Saharan Africa,Low income,20770979033.71,
European Union,,,,
Fragile and conflict affected situations,,,,
Finland,Europe & Central Asia,High income,2556625194892.8,0.004899977336539265
Fiji,East Asia & Pacific,Upper middle income,311209045257.51,0.0007960865260037661
France,Europe & Central Asia,High income,2556625194892.8,0.06491643762704884
Faroe Islands,Europe & Central Asia,High income,2556625194892.8,
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,168626358779.41,
Gabon,Sub-Saharan Africa,Upper middle income,311209045257.51,0.001226465229454282
United Kingdom,Europe & Central Asia,High income,2556625194892.8,0.0579334038856683
Georgia,Europe & Central Asia,Upper middle income,311209045257.51,
Ghana,Sub-Saharan Africa,Lower middle income,168626358779.41,0.014334103668584577
Gibraltar,Europe & Central Asia,High income,2556625194892.8,
Guinea,Sub-Saharan Africa,Low income,20770979033.71,
"Gambia, The",Sub-Saharan Africa,Low income,20770979033.71,0.0026830034770896427
Guinea-Bissau,Sub-Saharan Africa,Low income,20770979033.71,0.0037812400182261224
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,311209045257.51,0.00020869237494771278
Greece,Europe & Central Asia,High income,2556625194892.8,0.005707426348277005
Grenada,Latin America & Caribbean,Upper middle income,311209045257.51,
Greenland,Europe & Central Asia,High income,2556625194892.8,3.464369867234834e-05
Guatemala,Latin America & Caribbean,Upper middle income,311209045257.51,0.006377706658100752
Guam,East Asia & Pacific,High income,2556625194892.8,
Guyana,Latin America & Caribbean,Upper middle income,311209045257.51,0.0009063039917963106
High income,,,,
"Hong Kong SAR, China",East Asia & Pacific,High income,2556625194892.8,0.0017507462395901486
Honduras,Latin America & Caribbean,Lower middle income,168626358779.41,0.00433502807800211
Heavily indebted poor countries (HIPC),,,,
Croatia,Europe & Central Asia,High income,2556625194892.8,
Haiti,Latin America & Caribbean,Lower middle income,168626358779.41,0.0021515023073859995
Hungary,Europe & Central Asia,High income,2556625194892.8,
IBRD only,,,,
IDA & IBRD total,,,,
IDA total,,,,
IDA blend,,,,
Indonesia,East Asia & Pacific,Lower middle income,168626358779.41,0.055350399709512464
IDA only,,,,
Isle of Man,Europe & Central Asia,High income,2556625194892.8,
India,South Asia,Lower middle income,168626358779.41,0.3994096089633636
Ireland,Europe & Central Asia,High income,2556625194892.8,0.001994132850284209
"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,168626358779.41,0.08143330416072954
Iraq,Middle East & North Africa,Upper middle income,311209045257.51,0.01242041834549384
Iceland,Europe & Central Asia,High income,2556625194892.8,0.0002621624545275217
Israel,Middle East & North Africa,High income,2556625194892.8,
Italy,Europe & Central Asia,High income,2556625194892.8,0.04876428514005454
Jamaica,Latin America & Caribbean,Upper middle income,311209045257.51,0.0049480101477315285
Jordan,Middle East & North Africa,Upper middle income,311209045257.51,0.0021793755655102796
Japan,East Asia & Pacific,High income,2556625194892.8,0.09393320557105347
Kazakhstan,Europe & Central Asia,Upper middle income,311209045257.51,
Kenya,Sub-Saharan Africa,Lower middle income,168626358779.41,0.010546342231859596
Kyrgyz Republic,Europe & Central Asia,Lower middle income,168626358779.41,
Cambodia,East Asia & Pacific,Lower middle income,168626358779.41,0.00575183754438295
Kiribati,East Asia & Pacific,Lower middle income,168626358779.41,9.060643063512313e-05
St. Kitts and Nevis,Latin America & Caribbean,High income,2556625194892.8,7.676035771376677e-06
"Korea, Rep.",East Asia & Pacific,High income,2556625194892.8,0.00387366124208725
Kuwait,Middle East & North Africa,High income,2556625194892.8,0.0015177705397535618
Latin America & Caribbean (excluding high income),,,,
Lao PDR,East Asia & Pacific,Lower middle income,168626358779.41,
Lebanon,Middle East & North Africa,Lower middle income,168626358779.41,
Liberia,Sub-Saharan Africa,Low income,20770979033.71,
Libya,Middle East & North Africa,Upper middle income,311209045257.51,
St. Lucia,Latin America & Caribbean,Upper middle income,311209045257.51,
Latin America & Caribbean,,,,
Least developed countries: UN classification,,,,
Low income,,,,
Liechtenstein,Europe & Central Asia,High income,2556625194892.8,4.102620454868748e-05
Sri Lanka,South Asia,Lower middle income,168626358779.41,0.01405064200609011
Lower middle income,,,,
Low & middle income,,,,
Lesotho,Sub-Saharan Africa,Lower middle income,168626358779.41,0.00045355959449999575
Late-demographic dividend,,,,
Lithuania,Europe & Central Asia,High income,2556625194892.8,
Luxembourg,Europe & Central Asia,High income,2556625194892.8,0.0005940539990116474
Latvia,Europe & Central Asia,High income,2556625194892.8,
"Macao SAR, China",East Asia & Pacific,High income,2556625194892.8,
St. Martin (French part),Latin America & Caribbean,High income,2556625194892.8,
Morocco,Middle East & North Africa,Lower middle income,168626358779.41,0.025836018132249224
Monaco,Europe & Central Asia,High income,2556625194892.8,0.00012815781079468652
Moldova,Europe & Central Asia,Upper middle income,311209045257.51,
Madagascar,Sub-Saharan Africa,Low income,20770979033.71,0.05774920999406307
Maldives,South Asia,Upper middle income,311209045257.51,
Middle East & North Africa,,,,
Mexico,Latin America & Caribbean,Upper middle income,311209045257.51,0.12596034915233248
Marshall Islands,East Asia & Pacific,Upper middle income,311209045257.51,
Middle income,,,,
North Macedonia,Europe & Central Asia,Upper middle income,311209045257.51,
Mali,Sub-Saharan Africa,Low income,20770979033.71,0.019027443470940146
Malta,Middle East & North Africa,High income,2556625194892.8,0.00010348794196682941
Myanmar,East Asia & Pacific,Lower middle income,168626358779.41,0.0033172653418422895
Middle East & North Africa (excluding high income),,,,
Montenegro,Europe & Central Asia,Upper middle income,311209045257.51,
