Country Name,Region,IncomeGroup,TotalGDP,GDPPercentage
Aruba,Latin America & Caribbean,High income,1934938273180.49,
Africa Eastern and Southern,,,,
Afghanistan,South Asia,Low income,18349827296.0,0.07677941046928097
Africa Western and Central,,,,
Angola,Sub-Saharan Africa,Lower middle income,144200729271.87,
Albania,Europe & Central Asia,Upper middle income,256152646027.69,
Andorra,Europe & Central Asia,High income,1934938273180.49,
Arab World,,,,
United Arab Emirates,Middle East & North Africa,High income,1934938273180.49,
Argentina,Latin America & Caribbean,Upper middle income,256152646027.69,0.12202210294802579
Armenia,Europe & Central Asia,Upper middle income,256152646027.69,
American Samoa,East Asia & Pacific,Upper middle income,256152646027.69,
Antigua and Barbuda,Latin America & Caribbean,High income,1934938273180.49,
Australia,East Asia & Pacific,High income,1934938273180.49,0.01895750360175875
Austria,Europe & Central Asia,High income,1934938273180.49,0.007019758068909211
Azerbaijan,Europe & Central Asia,Upper middle income,256152646027.69,
Burundi,Sub-Saharan Africa,Low income,18349827296.0,0.010365531578679334
Belgium,Europe & Central Asia,High income,1934938273180.49,0.012254001186314988
Benin,Sub-Saharan Africa,Lower middle income,144200729271.87,0.002293665317575622
Burkina Faso,Sub-Saharan Africa,Low income,18349827296.0,0.026065563990581114
Bangladesh,South Asia,Lower middle income,144200729271.87,0.058744544107187706
Bulgaria,Europe & Central Asia,Upper middle income,256152646027.69,
Bahrain,Middle East & North Africa,High income,1934938273180.49,
"Bahamas, The",Latin America & Caribbean,High income,1934938273180.49,0.0002729478569008261
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,256152646027.69,
Belarus,Europe & Central Asia,Upper middle income,256152646027.69,
Belize,Latin America & Caribbean,Upper middle income,256152646027.69,0.0001846765588940522
Bermuda,North America,High income,1934938273180.49,8.522235685014961e-05
Bolivia,Latin America & Caribbean,Lower middle income,144200729271.87,0.00644677481378971
Brazil,Latin America & Caribbean,Upper middle income,256152646027.69,0.1451151935982022
Barbados,Latin America & Caribbean,High income,1934938273180.49,
Brunei Darussalam,East Asia & Pacific,High income,1934938273180.49,8.331598580404031e-05
Bhutan,South Asia,Lower middle income,144200729271.87,
Botswana,Sub-Saharan Africa,Upper middle income,256152646027.69,0.0003019953737727064
Central African Republic,Sub-Saharan Africa,Low income,18349827296.0,0.010247463818964108
Canada,North America,High income,1934938273180.49,0.04090487679067015
Central Europe and the Baltics,,,,
Switzerland,Europe & Central Asia,High income,1934938273180.49,0.01060751492721414
Channel Islands,Europe & Central Asia,High income,1934938273180.49,
Chile,Latin America & Caribbean,High income,1934938273180.49,0.004329385148411186
China,East Asia & Pacific,Upper middle income,256152646027.69,0.31116565642809646
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,144200729271.87,0.009440730042587709
Cameroon,Sub-Saharan Africa,Lower middle income,144200729271.87,0.00763207914798452
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,18349827296.0,0.27424971847538854
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,144200729271.87,0.0018379937288687676
Colombia,Latin America & Caribbean,Upper middle income,256152646027.69,0.025180982176162017
Comoros,Sub-Saharan Africa,Lower middle income,144200729271.87,
Cabo Verde,Sub-Saharan Africa,Lower middle income,144200729271.87,
Costa Rica,Latin America & Caribbean,Upper middle income,256152646027.69,0.0033325058984857133
Caribbean small states,,,,
Cuba,Latin America & Caribbean,Upper middle income,256152646027.69,
Curacao,Latin America & Caribbean,High income,1934938273180.49,
Cayman Islands,Latin America & Caribbean,High income,1934938273180.49,
Cyprus,Europe & Central Asia,High income,1934938273180.49,
Czechia,Europe & Central Asia,High income,1934938273180.49,
Germany,Europe & Central Asia,High income,1934938273180.49,
Djibouti,Middle East & North Africa,Lower middle income,144200729271.87,
Dominica,Latin America & Caribbean,Upper middle income,256152646027.69,
Denmark,Europe & Central Asia,High income,1934938273180.49,0.007966611896958485
Dominican Republic,Latin America & Caribbean,Upper middle income,256152646027.69,0.004803776260296696
Algeria,Middle East & North Africa,Lower middle income,144200729271.87,0.029522865754538722
East Asia & Pacific (excluding high income),,,,
Early-demographic dividend,,,,
East Asia & Pacific,,,,
Europe & Central Asia (excluding high income),,,,
Europe & Central Asia,,,,
Ecuador,Latin America & Caribbean,Upper middle income,256152646027.69,0.012149657230804385
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,144200729271.87,0.04524564639128188
Euro area,,,,
