Country Name,Region,IncomeGroup,TotalGDP,GDPPercentage
Aruba,Latin America & Caribbean,High income,8756498794245.561,
Africa Eastern and Southern,,,,
Afghanistan,South Asia,Low income,64958354157.9,0.05606243214148779
Africa Western and Central,,,,
Angola,Sub-Saharan Africa,Lower middle income,667323296406.59,0.008887001896883627
Albania,Europe & Central Asia,Upper middle income,1130236352398.12,
Andorra,Europe & Central Asia,High income,8756498794245.561,5.0981118856930325e-05
Arab World,,,,
United Arab Emirates,Middle East & North Africa,High income,8756498794245.561,0.004979016096896108
Argentina,Latin America & Caribbean,Upper middle income,1130236352398.12,0.06809365455084083
Armenia,Europe & Central Asia,Upper middle income,1130236352398.12,
American Samoa,East Asia & Pacific,Upper middle income,1130236352398.12,
Antigua and Barbuda,Latin America & Caribbean,High income,8756498794245.561,1.5009540889375957e-05
Australia,East Asia & Pacific,High income,8756498794245.561,0.01712830704648344
Austria,Europe & Central Asia,High income,8756498794245.561,0.009371201312895287
Azerbaijan,Europe & Central Asia,Upper middle income,1130236352398.12,
Burundi,Sub-Saharan Africa,Low income,64958354157.9,0.014158712587827261
Belgium,Europe & Central Asia,High income,8756498794245.561,0.014483985321090572
Benin,Sub-Saharan Africa,Lower middle income,667323296406.59,0.0021058032209680293
Burkina Faso,Sub-Saharan Africa,Low income,64958354157.9,0.029691630922663026
Bangladesh,South Asia,Lower middle income,667323296406.59,0.02718030255150685
Bulgaria,Europe & Central Asia,Upper middle income,1130236352398.12,0.017553169942645528
Bahrain,Middle East & North Africa,High income,8756498794245.561,0.000350904899343932
"Bahamas, The",Latin America & Caribbean,High income,8756498794245.561,0.0001524924551896825
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1130236352398.12,
Belarus,Europe & Central Asia,Upper middle income,1130236352398.12,
Belize,Latin America & Caribbean,Upper middle income,1130236352398.12,0.00017512993807004826
Bermuda,North America,High income,8756498794245.561,7.003940529324775e-05
Bolivia,Latin America & Caribbean,Lower middle income,667323296406.59,0.006799534539605489
Brazil,Latin America & Caribbean,Upper middle income,1130236352398.12,0.2100383689626535
Barbados,Latin America & Caribbean,High income,8756498794245.561,0.00011560335229706564
Brunei Darussalam,East Asia & Pacific,High income,8756498794245.561,0.0005628762218569638
Bhutan,South Asia,Lower middle income,667323296406.59,0.00019288613419180624
Botswana,Sub-Saharan Africa,Upper middle income,1130236352398.12,0.0009386743106863854
Central African Republic,Sub-Saharan Africa,Low income,64958354157.9,0.012270138908731354
Canada,North America,High income,8756498794245.561,0.031274371919055875
Central Europe and the Baltics,,,,
Switzerland,Europe & Central Asia,High income,8756498794245.561,0.01400799599043035
Channel Islands,Europe & Central Asia,High income,8756498794245.561,
Chile,Latin America & Caribbean,High income,8756498794245.561,0.003316018257329268
China,East Asia & Pacific,Upper middle income,1130236352398.12,0.16912303306686485
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,667323296406.59,0.015248404329346463
Cameroon,Sub-Saharan Africa,Lower middle income,667323296406.59,0.010002000021490763
